main_genre,AVG_PROFIT,TOTAL_MOVIES,PROFIT_RANK
Animation,174163721.7398374,123,1.0
Adventure,145362804.44247788,339,2.0
Science Fiction,119246501.79166667,96,3.0
Family,116724017.92857143,56,4.0
Fantasy,95020439.82051282,117,5.0
Action,74210060.42970823,754,6.0
History,48372616.6,25,7.0
Mystery,46914567.146341465,41,8.0
Romance,45211176.0754717,106,9.0
Thriller,35784938.664948456,194,10.0
Comedy,32943697.09309021,1042,11.0
Horror,32820333.536666665,300,12.0
War,28164976.666666668,24,13.0
Drama,27383196.874896437,1207,14.0
Crime,26694901.90769231,195,15.0
Western,26387969.62962963,27,16.0
Music,16189962.588235294,34,17.0
Documentary,6794623.617977528,89,18.0
Foreign,-56850.0,2,19.0
TV Movie,-250000.0,4,20.0
