id,release_year,main_genre,director,vote_average,vote_count,profit
19995,2009,Action,James Cameron,7.2,11800,2550965087
285,2007,Adventure,Gore Verbinski,6.9,4500,661000000
206647,2015,Action,Sam Mendes,6.3,4466,635674609
49026,2012,Action,Christopher Nolan,7.6,9106,834939099
49529,2012,Action,Andrew Stanton,6.1,2124,24139100
559,2007,Fantasy,Sam Raimi,5.9,3576,632871626
38757,2010,Animation,Byron Howard,7.4,3330,331794936
99861,2015,Action,Joss Whedon,7.3,6767,1125403694
767,2009,Adventure,David Yates,7.4,5293,683959197
209112,2016,Action,Zack Snyder,5.7,7004,623260194
1452,2006,Adventure,Bryan Singer,5.4,1400,121081192
10764,2008,Adventure,Marc Forster,6.1,2965,386090727
58,2006,Adventure,Gore Verbinski,7.0,5246,865659812
57201,2013,Action,Gore Verbinski,5.9,2311,-165710090
49521,2013,Action,Zack Snyder,6.5,6359,437845518
2454,2008,Adventure,Andrew Adamson,6.3,1630,194651413
24428,2012,Science Fiction,Joss Whedon,7.4,11776,1299557910
1865,2011,Adventure,Rob Marshall,6.4,4948,665713802
41154,2012,Action,Barry Sonnenfeld,6.2,4160,399026776
122917,2014,Action,Peter Jackson,7.1,4760,706019788
1930,2012,Action,Marc Webb,6.5,6586,537215857
20662,2010,Action,Ridley Scott,6.2,1398,110669540
57158,2013,Adventure,Peter Jackson,7.6,4524,708400000
2268,2007,Adventure,Chris Weitz,5.8,1303,192234864
254,2005,Adventure,Peter Jackson,6.6,2337,343000000
597,1997,Drama,James Cameron,7.5,7562,1645034188
271110,2016,Adventure,Anthony Russo,7.1,7241,903304495
44833,2012,Thriller,Peter Berg,5.5,2114,94025485
135397,2015,Action,Colin Trevorrow,6.5,8662,1363528810
37724,2012,Action,Sam Mendes,6.9,7604,908561013
558,2004,Action,Sam Raimi,6.7,4321,583766341
68721,2013,Action,Shane Black,6.8,8806,1015439994
12155,2010,Family,Tim Burton,6.4,4645,825491110
36668,2006,Adventure,Brett Ratner,6.3,3525,249359555
62211,2013,Animation,Dan Scanlon,7.0,3528,543559607
8373,2009,Science Fiction,Michael Bay,6.0,3138,686297228
91314,2014,Science Fiction,Michael Bay,5.8,3095,881405097
68728,2013,Fantasy,Sam Raimi,5.7,3530,291868548
102382,2014,Action,Marc Webb,6.5,4179,505717432
20526,2010,Adventure,Joseph Kosinski,6.3,2841,230062763
49013,2011,Animation,John Lasseter,5.8,2033,359852396
44912,2011,Adventure,Martin Campbell,5.1,2487,19851172
10193,2010,Animation,Lee Unkrich,7.6,4597,866969703
534,2009,Action,McG,5.9,2463,171353001
168259,2015,Action,James Wan,7.3,4176,1316249360
72190,2013,Action,Marc Forster,6.7,5560,331865000
127585,2014,Action,Bryan Singer,7.5,6032,497862775
54138,2013,Action,J.J. Abrams,7.4,4418,277365246
81005,2013,Action,Bryan Singer,5.5,2598,2687603
64682,2013,Drama,Baz Luhrmann,7.3,3769,246040419
9543,2010,Adventure,Mike Newell,6.2,2317,185154643
68726,2013,Action,Guillermo del Toro,6.7,4794,227602906
38356,2011,Action,Michael Bay,6.1,3299,928746996
217,2008,Adventure,Steven Spielberg,5.7,2495,601636033
105864,2015,Adventure,Peter Sohn,6.6,1736,156926147
62177,2012,Animation,Brenda Chapman,6.7,4641,353983207
188927,2016,Action,Justin Lin,6.6,2568,158471816
10681,2008,Animation,Andrew Stanton,7.8,6296,341311860
5174,2007,Action,Brett Ratner,6.1,783,118022233
14161,2009,Action,Roland Emmerich,5.6,4903,569653595
17979,2009,Animation,Robert Zemeckis,6.6,1095,125233863
76757,2015,Science Fiction,Lilly Wachowski,5.2,2768,7987720
258489,2016,Action,David Yates,5.5,2430,176743061
411,2005,Adventure,Andrew Adamson,6.7,2629,568806957
246655,2016,Science Fiction,Bryan Singer,6.4,4721,365934787
155,2008,Drama,Christopher Nolan,8.2,12002,819558444
14160,2009,Animation,Pete Docter,7.7,6870,560099082
15512,2009,Animation,Conrad Vernon,6.0,1423,206509870
1726,2008,Action,Jon Favreau,7.4,8776,445174222
44826,2011,Adventure,Martin Scorsese,7.0,2141,15770160
8487,1999,Action,Barry Sonnenfeld,5.1,1020,52104681
1735,2008,Adventure,Rob Cohen,5.2,1387,256128639
297761,2016,Action,David Ayer,5.9,7458,570000000
2698,2007,Fantasy,Tom Shadyac,5.3,1151,-2000000
137113,2014,Action,Doug Liman,7.6,4858,192541256
9804,1995,Adventure,Kevin Reynolds,5.9,992,89218220
14869,2009,Adventure,Stephen Sommers,5.6,1962,127469017
150540,2015,Drama,Pete Docter,8.0,6560,682611174
278927,2016,Family,Jon Favreau,6.7,2892,791550600
10138,2010,Adventure,Jon Favreau,6.6,6849,423933331
58595,2012,Adventure,Rupert Sanders,5.8,3118,226600000
102651,2014,Fantasy,Robert Stromberg,7.0,4496,578539785
119450,2014,Science Fiction,Matt Reeves,7.3,4410,540644566
79698,2015,Action,Roland Joffé,4.8,34,-27000000
64686,2013,Drama,Carl Rinsch,5.9,1326,-24037525
100402,2014,Action,Anthony Russo,7.6,5764,544766572
10192,2010,Comedy,Mike Mitchell,6.0,1959,587600867
158852,2015,Adventure,Brad Bird,6.2,2846,19154322
177572,2014,Adventure,Chris Williams,7.8,6135,487105443
82690,2012,Family,Rich Moore,7.1,4570,306222889
5255,2004,Adventure,Robert Zemeckis,6.4,1474,140875730
47933,2016,Action,Roland Emmerich,4.9,2491,224681935
10191,2010,Fantasy,Chris Sanders,7.5,4227,329878759
296,2003,Action,Jonathan Mostow,5.9,2143,235000000
118340,2014,Action,James Gunn,7.9,9742,603328629
157336,2014,Adventure,Christopher Nolan,8.1,10867,510120017
27205,2010,Action,Christopher Nolan,8.1,13752,665532764
315011,2016,Action,Hideaki Anno,6.5,143,62000000
49051,2012,Adventure,Peter Jackson,7.0,8297,771103568
9799,2001,Action,Rob Cohen,6.6,3428,169283925
